Time_unit	Time_code	Year	Month	00 Consumer price index, total	01 Food and non-alcoholic beverages	04. Housing, water, electricity, gas and other fuels	06. Health	07. Transport	08. Communication	09. Recreation and culture	10. Education	11. Restaurants and hotels	12. Miscellaneous goods and services	13.1 Goods (total)	13.2 Services (total)	14.1 Overall Consumer Price Index - excl. energy and unprocessed food (core inflation)	15.1 Overall Consumer Price Index excl. energy
1	2017M01	2017	1	100,3	101,4	101,1	100,1	100	88,2	101,7	105,2	101,4	102,4	98,7	101,8	100,3	100,4
2	2017M02	2017	2	101,1	102,5	102,4	100	100,5	88,4	102,4	105,2	101,3	102,3	99,2	102,9	101,2	101,3
3	2017M03	2017	3	101,2	101,4	102,5	100,4	99,7	88,3	101,7	105,2	101,5	102,6	99,5	102,7	101,3	101,4
4	2017M04	2017	4	101,4	101,5	102,1	100,5	100,9	87,8	102,3	105,2	103,4	103,1	99,4	103,3	101,6	101,7
5	2017M05	2017	5	101,3	102,2	102	100,4	100,1	88,1	101,4	105,2	104,5	103	99,2	103,3	101,7	101,7
6	2017M06	2017	6	101,2	102,9	101,9	100	99,6	87,8	101,6	105,2	104,9	102,9	98,7	103,5	101,6	101,7
7	2017M07	2017	7	102	104,6	101,9	100	100,6	87,6	104,5	105,2	111,8	103,4	98,4	105,4	102,5	102,7
8	2017M08	2017	8	101,7	104	101,9	99,9	100,2	87,4	102,2	106,7	110,7	103,5	98,5	104,8	102,2	102,3
9	2017M09	2017	9	101,8	103,9	102	100	101	87,2	102,5	106,7	104,8	103,5	99,4	104	102,1	102,2
10	2017M10	2017	10	101,9	103,7	102,4	101	100,7	87	102,2	107,5	104,7	103,6	99,5	104,1	102,1	102,3
11	2017M11	2017	11	101,6	104	102,3	101	100,3	86,7	100,7	107,5	103,6	103,7	99,4	103,7	101,8	101,9
12	2017M12	2017	12	101,3	102,9	102,1	100,8	100,6	86,7	100,8	107,5	103,6	103,5	98,8	103,6	101,5	101,6
13	2018M01	2018	1	101	103	102,3	100,1	100,2	86,7	101,1	108	103,5	103,7	98	103,7	101,1	101,2
14	2018M02	2018	2	101,7	103,4	103,1	100,5	100,6	87	102,8	108	103,5	104	98,5	104,8	102	102,1
15	2018M03	2018	3	101,7	102,4	103,2	100,9	100,4	85,3	101,7	108	103,8	103,9	98,8	104,5	102	102
16	2018M04	2018	4	102,2	102,9	103,3	101,3	101,2	85,9	101,9	108	104,5	104,7	99,6	104,7	102,4	102,5
17	2018M05	2018	5	102,4	102,9	103,3	101,1	102,6	85,9	100,7	108	107,3	104,5	99,8	104,8	102,4	102,5
18	2018M06	2018	6	102,3	102,9	103,4	101,2	102,8	86,2	101,2	108	108,5	104,4	99,3	105,2	102,3	102,4
19	2018M07	2018	7	103,1	103,6	103	101,1	103,9	85,9	105,9	108	115,9	104,1	98,6	107,4	103,4	103,4
20	2018M08	2018	8	102,7	102,5	103,2	101,1	103,7	85,8	102,8	109,3	114,3	103,9	98,6	106,5	102,8	102,8
21	2018M09	2018	9	102,4	103,1	103,4	100,9	103	85,4	102,7	109,3	106,4	104,2	99,3	105,4	102,5	102,5
