"Year"	"Month"	"Emissions"	"Kilometers"
2020	"January"	1200	5000
2020	"February"	1100	5100
2020	"March"	1150	5200
2020	"April"	1250	5300
2020	"May"	1300	5400
2020	"June"	1350	5500
2020	"July"	1400	5600
2020	"August"	1450	5700
2020	"September"	1300	5800
2020	"October"	1200	5900
2020	"November"	1100	6000
2020	"December"	1050	6100
2021	"January"	1180	5200
2021	"February"	1080	5300
2021	"March"	1120	5400
2021	"April"	1220	5500
2021	"May"	1270	5600
2021	"June"	1320	5700
2021	"July"	1370	5800
2021	"August"	1420	5900
2021	"September"	1280	6000
2021	"October"	1190	6100
2021	"November"	1090	6200
2021	"December"	1040	6300
2022	"January"	1160	5500
2022	"February"	1060	5600
2022	"March"	1100	5700
2022	"April"	1200	5800
2022	"May"	1250	5900
2022	"June"	1300	6000
2022	"July"	1350	6100
2022	"August"	1400	6200
2022	"September"	1260	6300
2022	"October"	1170	6400
2022	"November"	1070	6500
2022	"December"	1020	6600
2023	"January"	1150	5600
2023	"February"	1050	5700
2023	"March"	1090	5800
2023	"April"	1190	5900
2023	"May"	1240	6000
2023	"June"	1290	6100
2023	"July"	1340	6200
2023	"August"	1390	6300
2023	"September"	1250	6400
2023	"October"	1160	6500
2023	"November"	1060	6600
2023	"December"	1010	6700
